division,district,upazila,post_office,postal_code
Barisal,Barguna,Amtali,Amtali UPO,8710
Barisal,Barguna,Bamna,Bamna UPO,8730
Barisal,Barguna,Barguna Sadar,Barguna HO,8700
Barisal,Barguna,Barguna Sadar,Nali Bandar EDSO,8701
Barisal,Barguna,Betagi,Betagi UPO,8740
Barisal,Barguna,Betagi,Darul Ulum EDSO,8741
Barisal,Barguna,Pathorghata,Kakchira SO,8721
Barisal,Barguna,Pathorghata,Patharghata UPO,8720
Barisal,Barguna,Taltali,,
Barisal,Barisal,Agailjhara,Agailjara UPO,8240
Barisal,Barisal,Agailjhara,Gaila SO,8241
Barisal,Barisal,Agailjhara,Paiserhat SO,8242
Barisal,Barisal,Airport,,
Barisal,Barisal,Babuganj,Babugonj Bandar SO,8217
Barisal,Barisal,Babuganj,Babugonj UPO,8210
Barisal,Barisal,Babuganj,Barishal Cadet College SO,8216
Barisal,Barisal,Babuganj,Chandpasa EDSO,8212
Barisal,Barisal,Babuganj,Madabpasa EDSO,8213
Barisal,Barisal,Babuganj,Nizam Uddin College EDSO,8215
Barisal,Barisal,Babuganj,Rahmatpur SO,8211
Barisal,Barisal,Babuganj,Thakur Mallik EDSO,8214
Barisal,Barisal,Bakerganj,Charmaddi EDSO,8281
Barisal,Barisal,Bakerganj,Kalaskakti SO,8284
Barisal,Barisal,Bakerganj,Padri Shibpur SO,8282
Barisal,Barisal,Bakerganj,Sahebgonj (Bakhergonj) UPO,8280
Barisal,Barisal,Bakerganj,Sialguni EDSO,8283
Barisal,Barisal,Banaripara,Banaripara UPO,8530
Barisal,Barisal,Banaripara,Chakher SO,8531
Barisal,Barisal,Bandar,,
Barisal,Barisal,Barisal Sadar,Barishal HO,8200
Barisal,Barisal,Barisal Sadar,Bukhainnagar EDSO,8201
Barisal,Barisal,Barisal Sadar,Jaguarhat EDSO,8206
Barisal,Barisal,Barisal Sadar,Kasipur EDSO,8205
Barisal,Barisal,Barisal Sadar,Patang EDSO,8204
Barisal,Barisal,Barisal Sadar,Rupatoli Housing Estate SO,8207
Barisal,Barisal,Barisal Sadar,Saheberhat EDSO,8202
Barisal,Barisal,Barisal Sadar,Sugandia EDSO,8203
Barisal,Barisal,Char Monai,,
Barisal,Barisal,Gournadi,Batajore SO,8233
Barisal,Barisal,Gournadi,Gour Nadi UPO,8230
Barisal,Barisal,Gournadi,Kasemabad SO,8232
Barisal,Barisal,Gournadi,Tarki Bandar SO,8231
Barisal,Barisal,Hizla,Barjalia (Hijla) UPo,8260
