division,district,upazila,post_office,postal_code,source_url
Barisal,Barguna,Amtali,Amtali UPO,8710,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be
Barisal,Barguna,Bamna,Bamna UPO,8730,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be
Barisal,Barguna,Barguna Sadar,Barguna HO,8700,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be
Barisal,Barguna,Barguna Sadar,Nali Bandar EDSO,8701,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be
Barisal,Barguna,Betagi,Betagi UPO,8740,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be
Barisal,Barguna,Betagi,Darul Ulum EDSO,8741,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be
Barisal,Barguna,Pathorghata,Kakchira SO,8721,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be
Barisal,Barguna,Pathorghata,Patharghata UPO,8720,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be
Barisal,Barguna,Taltali,,,
Barisal,Barisal,Agailjhara,Agailjara UPO,8240,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Agailjhara,Gaila SO,8241,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Agailjhara,Paiserhat SO,8242,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Airport,,,
Barisal,Barisal,Babuganj,Babugonj Bandar SO,8217,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Babuganj,Babugonj UPO,8210,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Babuganj,Barishal Cadet College SO,8216,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Babuganj,Chandpasa EDSO,8212,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Babuganj,Madabpasa EDSO,8213,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Babuganj,Nizam Uddin College EDSO,8215,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Babuganj,Rahmatpur SO,8211,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Babuganj,Thakur Mallik EDSO,8214,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
Barisal,Barisal,Bakerganj,Charmaddi EDSO,8281,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff
