division,district,upazila,post_office,postal_code,source_url,source_district_label_bn,source_upazila,resolution_type
Barisal,Barguna,Amtali,Amtali UPO,8710,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be,বরগুণা পোস্ট কোড,Amtali,exact
Barisal,Barguna,Bamna,Bamna UPO,8730,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be,বরগুণা পোস্ট কোড,Bamna,exact
Barisal,Barguna,Barguna Sadar,Barguna HO,8700,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be,বরগুণা পোস্ট কোড,Sadar,safe_candidate
Barisal,Barguna,Barguna Sadar,Nali Bandar EDSO,8701,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be,বরগুণা পোস্ট কোড,Sadar,safe_candidate
Barisal,Barguna,Betagi,Betagi UPO,8740,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be,বরগুণা পোস্ট কোড,Betagi,exact
Barisal,Barguna,Betagi,Darul Ulum EDSO,8741,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be,বরগুণা পোস্ট কোড,Betagi,exact
Barisal,Barguna,Pathorghata,Kakchira SO,8721,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be,বরগুণা পোস্ট কোড,Patharghata,safe_candidate
Barisal,Barguna,Pathorghata,Patharghata UPO,8720,https://bdpost.gov.bd/pages/static-pages/6922db72933eb65569e0a2be,বরগুণা পোস্ট কোড,Patharghata,safe_candidate
Barisal,Barguna,Taltali,,,,,,canonical_fallback_no_verified_postal_row
Barisal,Barisal,Agailjhara,Agailjara UPO,8240,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Agailjara,safe_candidate
Barisal,Barisal,Agailjhara,Gaila SO,8241,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Agailjara,safe_candidate
Barisal,Barisal,Agailjhara,Paiserhat SO,8242,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Agailjara,safe_candidate
Barisal,Barisal,Airport,,,,,,canonical_fallback_no_verified_postal_row
Barisal,Barisal,Babuganj,Babugonj Bandar SO,8217,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Babugonj,second_pass_audited
Barisal,Barisal,Babuganj,Babugonj UPO,8210,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Babugonj,second_pass_audited
Barisal,Barisal,Babuganj,Barishal Cadet College SO,8216,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Babugonj,second_pass_audited
Barisal,Barisal,Babuganj,Chandpasa EDSO,8212,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Babugonj,second_pass_audited
Barisal,Barisal,Babuganj,Madabpasa EDSO,8213,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Babugonj,second_pass_audited
Barisal,Barisal,Babuganj,Nizam Uddin College EDSO,8215,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Babugonj,second_pass_audited
Barisal,Barisal,Babuganj,Rahmatpur SO,8211,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Babugonj,second_pass_audited
Barisal,Barisal,Babuganj,Thakur Mallik EDSO,8214,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Babugonj,second_pass_audited
Barisal,Barisal,Bakerganj,Charmaddi EDSO,8281,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sahebgonj (Bakhergonj),second_pass_audited
Barisal,Barisal,Bakerganj,Kalaskakti SO,8284,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sahebgonj (Bakhergonj),second_pass_audited
Barisal,Barisal,Bakerganj,Padri Shibpur SO,8282,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sahebgonj (Bakhergonj),second_pass_audited
Barisal,Barisal,Bakerganj,Sahebgonj (Bakhergonj) UPO,8280,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sahebgonj (Bakhergonj),second_pass_audited
Barisal,Barisal,Bakerganj,Sialguni EDSO,8283,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sahebgonj (Bakhergonj),second_pass_audited
Barisal,Barisal,Banaripara,Banaripara UPO,8530,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e,পিরোজপুর পোস্ট কোড,Banaripara,cross_district_reassign
Barisal,Barisal,Banaripara,Chakher SO,8531,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e,পিরোজপুর পোস্ট কোড,Banaripara,cross_district_reassign
Barisal,Barisal,Bandar,,,,,,canonical_fallback_no_verified_postal_row
Barisal,Barisal,Barisal Sadar,Barishal HO,8200,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sadar,safe_candidate
Barisal,Barisal,Barisal Sadar,Bukhainnagar EDSO,8201,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sadar,safe_candidate
Barisal,Barisal,Barisal Sadar,Jaguarhat EDSO,8206,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sadar,safe_candidate
Barisal,Barisal,Barisal Sadar,Kasipur EDSO,8205,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sadar,safe_candidate
Barisal,Barisal,Barisal Sadar,Patang EDSO,8204,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sadar,safe_candidate
Barisal,Barisal,Barisal Sadar,Rupatoli Housing Estate SO,8207,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sadar,safe_candidate
Barisal,Barisal,Barisal Sadar,Saheberhat EDSO,8202,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sadar,safe_candidate
Barisal,Barisal,Barisal Sadar,Sugandia EDSO,8203,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Sadar,safe_candidate
Barisal,Barisal,Char Monai,,,,,,canonical_fallback_no_verified_postal_row
Barisal,Barisal,Gournadi,Batajore SO,8233,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Gour Nadi,normalized
Barisal,Barisal,Gournadi,Gour Nadi UPO,8230,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Gour Nadi,normalized
Barisal,Barisal,Gournadi,Kasemabad SO,8232,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Gour Nadi,normalized
Barisal,Barisal,Gournadi,Tarki Bandar SO,8231,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Gour Nadi,normalized
Barisal,Barisal,Hizla,Barjalia (Hijla) UPo,8260,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Barjalia (Hijla),legacy_alias_explicit
Barisal,Barisal,Hizla,Osman Manjil SO,8261,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Barjalia (Hijla),legacy_alias_explicit
Barisal,Barisal,Kashipur,,,,,,canonical_fallback_no_verified_postal_row
Barisal,Barisal,Kawnia,,,,,,canonical_fallback_no_verified_postal_row
Barisal,Barisal,Mehendiganj,Laskerpur SO,8271,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Mehendigonj,safe_candidate
Barisal,Barisal,Mehendiganj,Lengutia SO,8274,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Mehendigonj,safe_candidate
Barisal,Barisal,Mehendiganj,Mehendigonj UPO,8270,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Mehendigonj,safe_candidate
Barisal,Barisal,Mehendiganj,Nalgora EDSO,8273,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Mehendigonj,safe_candidate
Barisal,Barisal,Mehendiganj,Ulania SO,8272,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Mehendigonj,safe_candidate
Barisal,Barisal,Muladi,Charkalekhan EDSO,8252,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Muladi,exact
Barisal,Barisal,Muladi,Kazirchar EDSO,8251,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Muladi,exact
Barisal,Barisal,Muladi,Muladi UPO,8250,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Muladi,exact
Barisal,Barisal,Rupatali,,,,,,canonical_fallback_no_verified_postal_row
Barisal,Barisal,University,,,,,,canonical_fallback_no_verified_postal_row
Barisal,Barisal,Wazirpur,Dhamura SO,8221,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Uzirpur,explicit_manual_alias
Barisal,Barisal,Wazirpur,Jugirkanda SO,8222,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Uzirpur,explicit_manual_alias
Barisal,Barisal,Wazirpur,Sikarpur SO,8223,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Uzirpur,explicit_manual_alias
Barisal,Barisal,Wazirpur,Uzirpur UPO,8220,https://bdpost.gov.bd/pages/static-pages/6922de4f933eb65569e19bff,বরিশাল পোস্ট কোড,Uzirpur,explicit_manual_alias
Barisal,Bhola,Bhola Sadar,Bhola HO,8300,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4,ভোলা পোস্ট কোড,Sadar,safe_candidate
Barisal,Bhola,Bhola Sadar,Joynagar SO,8301,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4,ভোলা পোস্ট কোড,Sadar,safe_candidate
Barisal,Bhola,Borhan Uddin,Burhanuddin UPO,8320,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4,ভোলা পোস্ট কোড,Burhanuddin,safe_candidate
Barisal,Bhola,Borhan Uddin,Mirza Kalu SO,8321,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4,ভোলা পোস্ট কোড,Burhanuddin,safe_candidate
Barisal,Bhola,Charfesson,Charfessan UPO,8340,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4,ভোলা পোস্ট কোড,Charfessan,safe_candidate
Barisal,Bhola,Charfesson,Dularhat EDSO,8341,https://bdpost.gov.bd/pages/static-pages/6922e0ac933eb65569e281f4,ভোলা পোস্ট কোড,Charfessan,safe_candidate
