district_label_bn,source_upazila,post_office_en,post_office_bn,postal_code,source_postal_code_raw,serial,source_url
ঢাকা পোস্ট কোড,Motijheel,Dhaka GPO,,1000,,1,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhaka Sadar,Dhaka Sadar HO,,1100,,2,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhaka Sadr,Wari TSO,,1203,,3,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhaka Sadar,Gandaria TSO,,1204,,4,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nilkhet,New Market TSO,,1205,,5,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Kochukhet,"Dhaka Cen,ft. TSO",,1206,,6,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Mohammadpur,Mohammadpur Housing Estate TSO,,1207,,7,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Kamrangirchar,Posta TSO,,1211,,8,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Kamrangirchar,Ashrafabad,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Tejgaon,Dhaka Politechnique Institut TSO,,1208,,9,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dhanmondi,Jigatola TSO,,1209,,10,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Gulshan,Gulshan TSO,,1212,,11,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Banani,Banani TSO,,1213,,12,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Khilgaon,Bashabo TSO,,1214,,13,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Banani,Banani TSO,,1219,,14,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Tejgaon,Tejgaon TSO,,1215,,15,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Mirpur,Mirpur TSO,,1216,,16,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Shantinagar,Shantinagar TSO,,1217,,17,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Mohammadpur,Bangabhaban TSO,,1222,,18,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Motijheel,Dilkusha TSO,,1223,,19,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Lalmati,Sangshad Bhaban,,1225,,20,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Khilkhet,Khilkhet TSO,,1229,,21,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Uttara,Uttara Model Town TSO,,1230,,22,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Dania,Dania TSO,,1236,,23,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Keranigonj UPO,,1310,,24,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Uttar Pangaon,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Konda,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Baktarchar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Ati,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Talepur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Beuta,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Baghoir,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Paschimdi,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Rahitpur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Brahammankirti,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Rajabari,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Shakta,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Shyamlapur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Shuvadda,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Sonakanda,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Dhaka Jute Mils SO,,1311,,25,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Doleshor,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Teghoria,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Par Gandaria,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Abdullapur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Ati EDSO,,1312,,26,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Kalatia SO,,1313,,27,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Itavara,,,`,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Taranagar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Keranigonj,Kharakandi,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Nawabgonj UPO,,1320,,28,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Khalpar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Agla,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Kolakopa,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Gobindopur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Galimpur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Choto Box Nagar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Jalalchar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Paragram,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Braha,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Bardhanpara,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Mohabbatpur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Mashail,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Sholla,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Kailail,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Aona,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Patiljhap,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Meleng,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Dakkhin Balukhondo,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Hasnabad SO,,1321,,29,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Khanepur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Dewtola,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Daudpur So,,1322,,30,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Kuthuri,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Joykrishnapur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Karpara,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Shikaripara,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Hat Baruakhali,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Tasulla Banglabazar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Agla EDSO,,1323,,31,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Khalpur EDSO,,1324,,32,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Nawabgonj,Churan So,,1325,,33,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Joypara (Dohar) UPO,,1330,,34,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Al-Amin Bazar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Harichandi,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
