district_label_bn,source_url
ঢাকা পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
নারায়নগঞ্জ পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922de5c933eb65569e1a1c1
মুন্সিগঞ্জ পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922dcdc933eb65569e126fa
নরসিংদী পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922df53933eb65569e213b9
গাজীপুর পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922dc3d933eb65569e0f312
মানিকগঞ্জ পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922dcc0933eb65569e11d77
টাঙ্গাইল পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922dd7b933eb65569e15334
জামালপুর পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922e10f933eb65569e29f1a
শেরপুর পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922e064933eb65569e26d35
ময়মনসিংহ পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922dd2d933eb65569e13d1e
কিশোরগঞ্জ পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922e12c933eb65569e2aaaf
নেত্রকোনা পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922e0f6933eb65569e2955c
সুনামগঞ্জ পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922df20933eb65569e200c3
সিলেট পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922dc22933eb65569e0e957
মৌলভীবাজার পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922dfd2933eb65569e24250
হবিগঞ্জ পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922df67933eb65569e21c5c
ব্রাহ্মণবাড়িয়া পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
কুমিল্লা পোস্ট কোড,https://bdpost.gov.bd/pages/static-pages/6922df8d933eb65569e22ba9
