district_label_bn,division,district
ঢাকা পোস্ট কোড,Dhaka,Dhaka
নারায়নগঞ্জ পোস্ট কোড,Dhaka,Narayanganj
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj
নরসিংদী পোস্ট কোড,Dhaka,Narsingdi
গাজীপুর পোস্ট কোড,Dhaka,Gazipur
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj
টাঙ্গাইল পোস্ট কোড,Dhaka,Tangail
জামালপুর পোস্ট কোড,Mymensingh,Jamalpur
শেরপুর পোস্ট কোড,Mymensingh,Sherpur
ময়মনসিংহ পোস্ট কোড,Mymensingh,Mymensingh
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj
নেত্রকোনা পোস্ট কোড,Mymensingh,Netrokona
সুনামগঞ্জ পোস্ট কোড,Sylhet,Sunamganj
সিলেট পোস্ট কোড,Sylhet,Sylhet
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar
হবিগঞ্জ পোস্ট কোড,Sylhet,Habiganj
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria
কুমিল্লা পোস্ট কোড,Chattogram,Comilla
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur
লক্ষ্মীপুর পোস্ট কোড,Chattogram,Lakshmipur
নোয়াখালী পোস্ট কোড,Chattogram,Noakhali
ফেণী পোস্ট কোড,Chattogram,Feni
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati
বান্দরবান পোস্ট কোড,Chattogram,Bandarban
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh
ঠাকুরগাঁও পোস্ট কোড,Rangpur,Thakurgaon
দিনাজপুর পোস্ট কোড,Rangpur,Dinajpur
নীলফামারী পোস্ট কোড,Rangpur,Nilphamari
রংপুর পোস্ট কোড,Rangpur,Rangpur
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha
বগুড়া পোস্ট কোড,Rajshahi,Bogura
জয়পুরহাট পোস্ট কোড,Rajshahi,Joypurhat
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi
চাঁপাইনবাবগঞ্জ পোস্ট কোড,Rajshahi,Chapainawabganj
নাটোর পোস্ট কোড,Rajshahi,Natore
নওগাঁ পোস্ট কোড,Rajshahi,Naogaon
পাবনা পোস্ট কোড,Rajshahi,Pabna
সিরাজগঞ্জ পোস্ট কোড,Rajshahi,Sirajganj
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia
মেহেরপুর পোস্ট কোড,Khulna,Meherpur
চুয়াডাঙ্গা পোস্ট কোড,Khulna,Chuadanga
ঝিনাইদহ পোস্ট কোড,Khulna,Jhenaidah
যশোর পোস্ট কোড,Khulna,Jashore
নড়াইল পোস্ট কোড,Khulna,Narail
মাগুড়া পোস্ট কোড,Khulna,Magura
রাজবাড়ী পোস্ট কোড,Dhaka,Rajbari
ফরিদপুর পোস্ট কোড,Dhaka,Faridpur
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj
বরিশাল পোস্ট কোড,Barisal,Barisal
ভোলা পোস্ট কোড,Barisal,Bhola
ঝালকাঠি পোস্ট কোড,Barisal,Jhalakathi
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali
বরগুণা পোস্ট কোড,Barisal,Barguna
খুলনা পোস্ট কোড,Khulna,Khulna
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat
সাতক্ষীরা পোস্ট কোড,Khulna,Satkhira
