division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Chattogram,Cox's Bazar,Sadar,safe_candidate,Coxsbazar Sadar,unique_district_sadar,Coxsbazar Sadar,0.526,Chakaria,0.462,Moheshkhali,0.250
Dhaka,Kishoreganj,Astagram,safe_candidate,Austagram,high_similarity:0.941;margin:0.370,Austagram,0.941,Tarail,0.571,Katiadi,0.400
Dhaka,Kishoreganj,Hussainpur,safe_candidate,Hossainpur,high_similarity:0.900;margin:0.344,Hossainpur,0.900,Bajitpur,0.556,Bhairab,0.471
Dhaka,Kishoreganj,Kathiadi,safe_candidate,Katiadi,high_similarity:0.933;margin:0.533,Katiadi,0.933,Bhairab,0.400,Pakundia,0.375
Dhaka,Kishoreganj,Mithamain,safe_candidate,Mithamoin,high_similarity:0.889;margin:0.356,Mithamoin,0.889,Tarail,0.533,Itna,0.462
Dhaka,Kishoreganj,Pakundi,safe_candidate,Pakundia,high_similarity:0.933;margin:0.504,Pakundia,0.933,Katiadi,0.429,Kuliarchar,0.353
Dhaka,Kishoreganj,Sadar,safe_candidate,Kishoreganj Sadar,unique_district_sadar,Kishoreganj Sadar,0.476,Pakundia,0.462,Austagram,0.429
Chattogram,Comilla,Chaudha Gram,safe_candidate,Chauddagram,high_similarity:0.909;margin:0.383,Chauddagram,0.909,Chandina,0.526,Muradnagar,0.476
Chattogram,Comilla,Sadar,safe_candidate,Comilla Sadar,unique_district_sadar,Sadarsouth,0.667,Comilla Sadar,0.588,Muradnagar,0.533
Khulna,Kushtia,Sadar,safe_candidate,Kushtia Sadar,unique_district_sadar,Kushtia Sadar,0.588,Daulatpur,0.429,Bheramara,0.429
Rangpur,Kurigram,Fulbari,manual_review,,,Phulbari,0.800,Chilmari,0.533,Ulipur,0.462
Rangpur,Kurigram,Nageswari,safe_candidate,Nageshwari,high_similarity:0.947;margin:0.447,Nageshwari,0.947,Rowmari,0.500,Bhurungamari,0.476
Rangpur,Kurigram,Rajibpur,manual_review,,,Charrajibpur,0.800,Ulipur,0.571,Rajarhat,0.500
Rangpur,Kurigram,Roumari,manual_review,,,Rowmari,0.857,Bhurungamari,0.632,Phulbari,0.533
Rangpur,Kurigram,Sadar,safe_candidate,Kurigram Sadar,unique_district_sadar,Kurigram Sadar,0.556,Rajarhat,0.462,Nageshwari,0.400
Chattogram,Khagrachhari,Diginala,safe_candidate,Dighinala,high_similarity:0.941;margin:0.541,Dighinala,0.941,Guimara,0.400,Matiranga,0.353
Chattogram,Khagrachhari,Lakshmi Chari,manual_review,,,Laxmichhari,0.783,Manikchari,0.636,Panchari,0.600
Chattogram,Khagrachhari,Mahal Chari,safe_candidate,Mohalchari,high_similarity:0.900;margin:0.200,Mohalchari,0.900,Manikchari,0.700,Panchari,0.667
Chattogram,Khagrachhari,Ranghar,manual_review,,,Ramgarh,0.714,Panchari,0.667,Matiranga,0.625
Chattogram,Khagrachhari,Sadar,safe_candidate,Khagrachhari Sadar,unique_district_sadar,Ramgarh,0.500,Panchari,0.462,Khagrachhari Sadar,0.455
Khulna,Khulna,Batiaghat,manual_review,,,Botiaghata,0.842,Aranghata,0.667,Paikgasa,0.471
Khulna,Khulna,Chalna Bazar (Dakup),manual_review,,,Khulna Sadar,0.519,Dakop,0.381,Terokhada,0.320
Khulna,Khulna,Digalia,manual_review,,,Digholia,0.800,Paikgasa,0.533,Daulatpur,0.500
Khulna,Khulna,Fultala,manual_review,,,Fultola,0.857,Khulna Sadar,0.444,Terokhada,0.375
Khulna,Khulna,Palkgacha,manual_review,,,Paikgasa,0.706,Labanchara,0.526,Aranghata,0.444
Khulna,Khulna,Sadar,safe_candidate,Khulna Sadar,unique_district_sadar,Khulna Sadar,0.625,Sonadanga,0.571,Terokhada,0.429
Khulna,Khulna,Terakhada,safe_candidate,Terokhada,high_similarity:0.889;margin:0.333,Terokhada,0.889,Aranghata,0.556,Botiaghata,0.526
Rangpur,Gaibandha,Bonarpara (Saghate),manual_review,,,Saghata,0.522,Gaibandha Sadar,0.400,Gobindaganj,0.370
Rangpur,Gaibandha,Fulchari,manual_review,,,Phulchari,0.824,Palashbari,0.556,Sadullapur,0.444
Rangpur,Gaibandha,Gobindagonj,safe_candidate,Gobindaganj,high_similarity:0.909;margin:0.338,Gobindaganj,0.909,Sundarganj,0.571,Gaibandha Sadar,0.400
Rangpur,Gaibandha,Sadar,safe_candidate,Gaibandha Sadar,unique_district_sadar,Sadullapur,0.667,Sundarganj,0.533,Gaibandha Sadar,0.526
Rangpur,Gaibandha,Sadullahpur,safe_candidate,Sadullapur,high_similarity:0.952;margin:0.476,Sadullapur,0.952,Palashbari,0.476,Phulchari,0.400
Rangpur,Gaibandha,Sundargonj,safe_candidate,Sundarganj,high_similarity:0.900;margin:0.329,Sundarganj,0.900,Gobindaganj,0.571,Sadullapur,0.400
Dhaka,Gazipur,Gazipur,manual_review,,,Gazipur Sadar,0.737,Kashimpur,0.625,Sreepur,0.429
Dhaka,Gazipur,Kaligonj,manual_review,,,Kaliganj,0.875,Kaliakair,0.471,Bason,0.462
