division,district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Rangpur,Kurigram,Fulbari,1,1,Fulbari UPO,5680,Phulbari,0.800,Chilmari,0.533,Ulipur,0.462
Rangpur,Kurigram,Rajibpur,2,1,Rajibpur UPO | Kodalkati,5650,Charrajibpur,0.800,Ulipur,0.571,Rajarhat,0.500
Rangpur,Kurigram,Roumari,6,1,Roumari UPO | Jadurchar | Char Shoulomari | Dadvanga | Baghurarchar | Shoulmari,5640,Rowmari,0.857,Bhurungamari,0.632,Chilmari,0.533
Chattogram,Khagrachhari,Lakshmi Chari,1,1,Lakshmi Chari UPO,4470,Laxmichhari,0.833,Manikchari,0.667,Panchari,0.636
Chattogram,Khagrachhari,Ranghar,1,1,Ranghar HO,4440,Ramgarh,0.714,Matiranga,0.625,Panchari,0.625
Khulna,Khulna,Batiaghat,2,2,Batiaghat UPO | Surkhali EDSO,9260 | 9261,Botiaghata,0.842,Aranghata,0.667,Paikgasa,0.471
Khulna,Khulna,Chalna Bazar (Dakup),4,4,Chalna Bazar (Dakup) UPO | Dakup EDSO | Bajuya SO | Naliyan SO,9270 | 9271 | 9272 | 9273,Khulna Sadar,0.519,Dakop,0.381,Daulatpur,0.320
Khulna,Khulna,Digalia,4,4,Digalia UPO | Chandani Mohal SO | Senhati SO | Goshgati Barakpur EDSO,9220 | 9221 | 9222 | 9223,Digholia,0.800,Paikgasa,0.533,Daulatpur,0.500
Khulna,Khulna,Fultala,1,1,Fultala UPO,9210,Fultola,0.857,Khulna Sadar,0.444,Daulatpur,0.375
Khulna,Khulna,Palkgacha,6,6,Palkgacha UPO | Gadaipur EDSO | Kapilmuni SO | Katipara EDSO | Chandkhali EDSO | Garhaikhali SO,9280 | 9281 | 9282 | 9283 | 9284 | 9285,Paikgasa,0.706,Labanchara,0.526,Aranghata,0.444
Rangpur,Gaibandha,Fulchari,2,2,Fulchari UPO | Bharatkhali SO,5760 | 5761,Phulchari,0.842,Palashbari,0.526,Sadullapur,0.421
Dhaka,Gazipur,Monnonagar,3,3,Monnonagar UPO | Nishatnagar SO | Ershadnagar,1710 | 1711 | 1712,Konabari,0.556,Kaliganj,0.333,Kaliakair,0.316
Chattogram,Chattogram,Lohaghora,3,3,Lohaghora | Padua So | Chunti EDSO,4396 | 4397 | 4398,Lohagara,0.824,Chandgaon,0.444,Hathazari,0.444
Chattogram,Chattogram,Rangunia (Dhamair),3,2,Rangunia (Dhamair) UPO | Betagi EDBO | Dhamairhat EDSO,4360 | 4361,Rangunia,0.696,Pahartali,0.417,Bayejid Bostami,0.414
Chattogram,Chattogram,Sadar,28,27,Chattogram GPO | NNM Madrasa EDBO | Chattogram HO | Pahartali TSO | Chackbazar TSO | Patenga TSO | Chattogram Airport TSO | Jaldia Marine Academy TSO,4000 | 4100 | 4202 | 4203 | 4204 | 4205 | 4206 | 4207,Bandar,0.727,Sadarghat,0.714,Sitakunda,0.571
Chattogram,Chandpur,Matlabgonj (Matlab),4,4,Matlabgonj (Matlab) UPO | Mohanpur SO | Kalipura Bazar EDSO | Changerchar SO,3640 | 3641 | 3642 | 3643,Matlab North,0.593,Matlab South,0.519,Hajiganj,0.417
Rajshahi,Chapainawabganj,Nachul,2,2,Nachul UPO | Mandumalhat EDSO,6310 | 6311,Nachol,0.833,Bholahat,0.286,Gomostapur,0.250
Rajshahi,Joypurhat,Ghoramara,1,1,Ghoramara HO,6100,Joypurhat Sadar,0.348,Kalai,0.286,Khetlal,0.250
Barisal,Jhalakathi,Nalchiti,2,2,Nalchiti UPO | Birkati SO,8420 | 8421,Nalchity,0.875,Kathalia,0.375,Jhalakathi Sadar,0.348
Khulna,Jhenaidah,Court Chandpur,1,1,Court Chandpur UPO,7330,Kotchandpur,0.833,Moheshpur,0.455,Harinakundu,0.417
Dhaka,Tangail,Deldoar,11,6,Deldoar UPO | Hinganagar | Pathrail | Atiya Darga | Lauhati | Koijuri | Jangalia SO | Patharia EDSO,1910 | 1911 | 1912 | 1913 | 1914 | 1915,Delduar,0.857,Dhanbari,0.400,BB. Bridge (East),0.316
Dhaka,Tangail,Khas Kaolia,1,1,Khas Kaolia UPO (Chowhali thana at Serajgonj District),1921,Basail,0.500,Ghatail,0.471,Dhanbari,0.444
Rangpur,Thakurgaon,Jibanpur,1,1,Jibanpur UPO,5130,Haripur,0.533,Pirganj,0.400,Baliadangi,0.333
Dhaka,Dhaka,Dania,1,1,Dania TSO,1236,Gendaria,0.615,Ramna,0.600,Dhanmondi,0.571
Dhaka,Dhaka,Dhaka Sadar,2,2,Dhaka Sadar HO | Gandaria TSO,1100 | 1204,Chak Bazar,0.632,Dohar,0.533,Savar,0.533
Dhaka,Dhaka,Dhaka Sadr,1,1,Wari TSO,1203,Chak Bazar,0.667,Dohar,0.571,Bhatara,0.500
Dhaka,Dhaka,Kochukhet,1,1,"Dhaka Cen,ft. TSO",1206,Khilkhet,0.706,Dakshinkhan,0.400,Kotwali,0.375
Dhaka,Dhaka,Kodomtoli,5,1,Kodomtoli UPO | Matuail SO | Tushardhara | Merajnagar | Habibnagar,1362,Kadamtali,0.667,Kotwali,0.625,Dhamrai,0.375
Dhaka,Dhaka,Lalmati,1,1,Sangshad Bhaban,1225,Dhamrai,0.571,Lalbagh,0.571,Ramna,0.500
Dhaka,Dhaka,Nilkhet,1,1,New Market TSO,1205,Khilkhet,0.800,New Market,0.500,Motijheel,0.375
Dhaka,Dhaka,Shantinagar,1,1,Shantinagar TSO,1217,Sher-E-Bangla Nagar,0.667,Bhatara,0.556,Rupnagar,0.526
Dhaka,Dhaka,Uttara,1,1,Uttara Model Town TSO,1230,Uttar Khan,0.800,Uttara Purba,0.706,Uttara Paschim,0.632
Rangpur,Dinajpur,Biral,1,1,Biral UPO,5210,Birol,0.800,Birganj,0.667,Birampur,0.615
Rangpur,Dinajpur,Nababgonj,3,3,Nababgonj UPO | Daudpur SO | Gopalpur SO,5280 | 5281 | 5282,Nawabganj,0.889,Birganj,0.625,Bochaganj,0.556
Rangpur,Dinajpur,Setabgonj,1,1,Setabgonj UPO,5226,Nawabganj,0.667,Birganj,0.625,Bochaganj,0.556
Rajshahi,Naogaon,Ahsangonj (Atral),2,2,Ahsangonj (Atral) UPO | Bandai Khara SO,6596 | 6597,Raninagar,0.435,Atrai,0.421,Naogaon Sadar,0.385
Rajshahi,Naogaon,Mahadebpur,1,1,Mahadebpur UPO,6530,Mohadevpur,0.800,Niamatpur,0.526,Sapahar,0.471
Rajshahi,Naogaon,Nitpur (Pursa),3,3,Nitpur (Pursa) UPO | Pursa EDSO | Ganguria EDSO,6550 | 6551 | 6552,Niamatpur,0.600,Porsha,0.471,Patnitala,0.400
