source_division,source_district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,best_same_district_upazila,best_same_district_score,global_1_division,global_1_district,global_1_upazila,global_1_score,global_2_division,global_2_district,global_2_upazila,global_2_score,global_3_division,global_3_district,global_3_upazila,global_3_score,classification_hint
Rangpur,Kurigram,Fulbari,1,1,Fulbari UPO,5680,Phulbari,0.800,Rangpur,Dinajpur,Fulbari,1.000,Mymensingh,Mymensingh,Fulbaria,0.933,Rangpur,Kurigram,Phulbari,0.800,possible_cross_district
Chattogram,Khagrachhari,Ranghar,1,1,Ranghar HO,4440,Ramgarh,0.714,Sylhet,Moulvibazar,Rajnagar,0.800,Khulna,Khulna,Aranghata,0.750,Rajshahi,Naogaon,Raninagar,0.750,possible_cross_district
Dhaka,Dhaka,Lalmati,1,1,Sangshad Bhaban,1225,Dhamrai,0.571,Chattogram,Comilla,Lalmai,0.923,Chattogram,Bandarban,Lama,0.727,Chattogram,Lakshmipur,Ramgati,0.714,possible_cross_district
Dhaka,Dhaka,Shantinagar,1,1,Shantinagar TSO,1217,Sher-E-Bangla Nagar,0.667,Sylhet,Sylhet,Osmaninagar,0.818,Rajshahi,Naogaon,Raninagar,0.800,Khulna,Satkhira,Shyamnagar,0.762,possible_cross_district
Mymensingh,Netrokona,Dharampasa,11,1,Dharampasa UPO | Uttorbir | Deola | Badshgonj | Joysree | Rajapur | Paikurati | Golokpur,2450,Purbadhala,0.400,Sylhet,Sunamganj,Dharmapasha,0.857,Khulna,Bagerhat,Rampal,0.625,Dhaka,Faridpur,Charbhadrasan,0.609,possible_cross_district
Mymensingh,Netrokona,Dhobaura,4,2,Dhobaura UPO | Munshirhat | Goatola | Sakuai EDSO,2416 | 2417,Barhatta,0.500,Mymensingh,Mymensingh,Dhobaura,1.000,Chattogram,Comilla,Barura,0.714,Chattogram,Brahmanbaria,Akhaura,0.667,possible_cross_district
Mymensingh,Netrokona,Madhya Nagar,7,1,Madhya Nagar UPO | Southpara | Chamardani | Bongshikunda | Farokh Nagar | Abid Nagar | Kartikpur,2456,Madan,0.625,Sylhet,Sunamganj,Madhyanagar,1.000,Khulna,Jashore,Abhaynagar,0.762,Chattogram,Comilla,Muradnagar,0.762,possible_cross_district
Barisal,Pirojpur,Banaripara,2,2,Banaripara UPO | Chakher SO,8530 | 8531,Bhandaria,0.737,Barisal,Barisal,Banaripara,1.000,Rajshahi,Natore,Bagatipara,0.800,Barisal,Pirojpur,Bhandaria,0.737,possible_cross_district
Rajshahi,Rajshahi,Lalitgonj,4,4,Lalitgonj UPO | Rakshahi Sugar Mills SO | Shyampur EDSO | Naohata Bazar SO,6210 | 6211 | 6212 | 6213,Boalia,0.533,Khulna,Jhenaidah,Kaliganj,0.824,Rangpur,Lalmonirhat,Kaliganj,0.824,Dhaka,Gazipur,Kaliganj,0.824,possible_cross_district
Mymensingh,Sherpur,Bakshigonj,1,1,Bakshigonj,2140,Jhenaigati,0.400,Mymensingh,Jamalpur,Bokshiganj,0.900,Chattogram,Brahmanbaria,Ashuganj,0.778,Rangpur,Rangpur,Mahiganj,0.778,possible_cross_district
