source_division,source_district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,best_same_district_upazila,best_same_district_score,global_1_division,global_1_district,global_1_upazila,global_1_score,global_2_division,global_2_district,global_2_upazila,global_2_score,global_3_division,global_3_district,global_3_upazila,global_3_score,classification_hint
Rangpur,Kurigram,Fulbari,1,1,Fulbari UPO,5680,Phulbari,0.800,Rangpur,Dinajpur,Fulbari,1.000,Mymensingh,Mymensingh,Fulbaria,0.933,Rangpur,Kurigram,Phulbari,0.800,possible_cross_district
Rangpur,Kurigram,Rajibpur,2,1,Rajibpur UPO | Kodalkati,5650,Charrajibpur,0.800,Chattogram,Lakshmipur,Raipur,0.857,Rangpur,Kurigram,Charrajibpur,0.800,Dhaka,Narsingdi,Raipura,0.800,same_district_likely
Rangpur,Kurigram,Roumari,6,1,Roumari UPO | Jadurchar | Char Shoulomari | Dadvanga | Baghurarchar | Shoulmari,5640,Rowmari,0.857,Rangpur,Kurigram,Rowmari,0.857,Chattogram,Bandarban,Ruma,0.727,Dhaka,Faridpur,Boalmari,0.667,same_district_likely
Chattogram,Khagrachhari,Lakshmi Chari,1,1,Lakshmi Chari UPO,4470,Laxmichhari,0.833,Chattogram,Khagrachhari,Laxmichhari,0.833,Chattogram,Rangamati,Belaichari,0.750,Chattogram,Rangamati,Baghaichari,0.720,same_district_likely
Chattogram,Khagrachhari,Ranghar,1,1,Ranghar HO,4440,Ramgarh,0.714,Sylhet,Moulvibazar,Rajnagar,0.800,Khulna,Khulna,Aranghata,0.750,Rajshahi,Naogaon,Raninagar,0.750,possible_cross_district
Khulna,Khulna,Batiaghat,2,2,Batiaghat UPO | Surkhali EDSO,9260 | 9261,Botiaghata,0.842,Khulna,Khulna,Botiaghata,0.842,Rajshahi,Rajshahi,Bagha,0.714,Khulna,Khulna,Aranghata,0.667,same_district_likely
Khulna,Khulna,Chalna Bazar (Dakup),4,4,Chalna Bazar (Dakup) UPO | Dakup EDSO | Bajuya SO | Naliyan SO,9270 | 9271 | 9272 | 9273,Khulna Sadar,0.519,Dhaka,Dhaka,Chak Bazar,0.640,Chattogram,Chattogram,Chawk Bazar,0.615,Chattogram,Comilla,Bangara Bazar,0.571,legacy_or_special
Khulna,Khulna,Digalia,4,4,Digalia UPO | Chandani Mohal SO | Senhati SO | Goshgati Barakpur EDSO,9220 | 9221 | 9222 | 9223,Digholia,0.800,Khulna,Khulna,Digholia,0.800,Chattogram,Khagrachhari,Dighinala,0.750,Khulna,Narail,Kalia,0.667,same_district_likely
Khulna,Khulna,Fultala,1,1,Fultala UPO,9210,Fultola,0.857,Khulna,Khulna,Fultola,0.857,Khulna,Satkhira,Tala,0.727,Dhaka,Narayanganj,Fotullah,0.667,same_district_likely
Khulna,Khulna,Palkgacha,6,6,Palkgacha UPO | Gadaipur EDSO | Kapilmuni SO | Katipara EDSO | Chandkhali EDSO | Garhaikhali SO,9280 | 9281 | 9282 | 9283 | 9284 | 9285,Paikgasa,0.706,Dhaka,Gazipur,Gacha,0.714,Khulna,Khulna,Paikgasa,0.706,Rangpur,Rangpur,Pirgacha,0.706,same_district_likely
Rangpur,Gaibandha,Fulchari,2,2,Fulchari UPO | Bharatkhali SO,5760 | 5761,Phulchari,0.842,Rangpur,Gaibandha,Phulchari,0.842,Rangpur,Dinajpur,Fulbari,0.750,Mymensingh,Mymensingh,Fulbaria,0.706,same_district_likely
Dhaka,Gazipur,Monnonagar,3,3,Monnonagar UPO | Nishatnagar SO | Ershadnagar,1710 | 1711 | 1712,Konabari,0.556,Chattogram,Comilla,Monohargonj,0.667,Sylhet,Sylhet,Osmaninagar,0.667,Mymensingh,Netrokona,Mohongonj,0.632,legacy_or_special
Chattogram,Chattogram,Lohaghora,3,3,Lohaghora | Padua So | Chunti EDSO,4396 | 4397 | 4398,Lohagara,0.824,Chattogram,Chattogram,Lohagara,0.824,Khulna,Narail,Lohagara,0.824,Rajshahi,Pabna,Atghoria,0.706,same_district_likely
