source_division,source_district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,best_same_district_upazila,best_same_district_score,global_1_division,global_1_district,global_1_upazila,global_1_score,global_2_division,global_2_district,global_2_upazila,global_2_score,global_3_division,global_3_district,global_3_upazila,global_3_score,classification_hint
Khulna,Khulna,Chalna Bazar (Dakup),4,4,Chalna Bazar (Dakup) UPO | Dakup EDSO | Bajuya SO | Naliyan SO,9270 | 9271 | 9272 | 9273,Khulna Sadar,0.519,Dhaka,Dhaka,Chak Bazar,0.640,Chattogram,Chattogram,Chawk Bazar,0.615,Chattogram,Comilla,Bangara Bazar,0.571,legacy_or_special
Dhaka,Gazipur,Monnonagar,3,3,Monnonagar UPO | Nishatnagar SO | Ershadnagar,1710 | 1711 | 1712,Konabari,0.556,Chattogram,Comilla,Monohargonj,0.667,Sylhet,Sylhet,Osmaninagar,0.667,Mymensingh,Netrokona,Mohongonj,0.632,legacy_or_special
Chattogram,Chattogram,Rangunia (Dhamair),3,2,Rangunia (Dhamair) UPO | Betagi EDBO | Dhamairhat EDSO,4360 | 4361,Rangunia,0.696,Chattogram,Chattogram,Rangunia,0.696,Rangpur,Rangpur,Rangpur Sadar,0.667,Chattogram,Rangamati,Rangamati Sadar,0.621,legacy_or_special
Chattogram,Chandpur,Matlabgonj (Matlab),4,4,Matlabgonj (Matlab) UPO | Mohanpur SO | Kalipura Bazar EDSO | Changerchar SO,3640 | 3641 | 3642 | 3643,Matlab North,0.593,Chattogram,Chandpur,Matlab North,0.593,Sylhet,Sylhet,Balaganj,0.583,Sylhet,Sunamganj,Jamalganj,0.560,legacy_or_special
Rangpur,Thakurgaon,Jibanpur,1,1,Jibanpur UPO,5130,Haripur,0.533,Rajshahi,Pabna,Aminpur,0.667,Dhaka,Tangail,Bhuapur,0.667,Sylhet,Sylhet,Jaintiapur,0.667,legacy_or_special
Dhaka,Dhaka,Dhaka Sadr,1,1,Wari TSO,1203,Chak Bazar,0.667,Dhaka,Dhaka,Chak Bazar,0.667,Barisal,Jhalakathi,Jhalakathi Sadar,0.667,Rangpur,Thakurgaon,Thakurgaon Sadar,0.667,legacy_or_special
Dhaka,Dhaka,Kodomtoli,5,1,Kodomtoli UPO | Matuail SO | Tushardhara | Merajnagar | Habibnagar,1362,Kadamtali,0.667,Dhaka,Dhaka,Kadamtali,0.667,Dhaka,Dhaka,Kotwali,0.625,Barisal,Barguna,Amtali,0.533,legacy_or_special
Rajshahi,Naogaon,Ahsangonj (Atral),2,2,Ahsangonj (Atral) UPO | Bandai Khara SO,6596 | 6597,Raninagar,0.435,Khulna,Khulna,Aranghata,0.609,Dhaka,Narayanganj,Narayanganj Sadar,0.600,Khulna,Jashore,Abhaynagar,0.583,legacy_or_special
Rajshahi,Naogaon,Nitpur (Pursa),3,3,Nitpur (Pursa) UPO | Pursa EDSO | Ganguria EDSO,6550 | 6551 | 6552,Niamatpur,0.600,Barisal,Pirojpur,Nazirpur,0.632,Rajshahi,Naogaon,Niamatpur,0.600,Dhaka,Dhaka,Mirpur,0.588,legacy_or_special
Mymensingh,Netrokona,Susang,2,1,Susang UPO | Ketta,2420,Madan,0.364,Rajshahi,Pabna,Sujanagar,0.667,Rajshahi,Sirajganj,Salanga,0.615,Chattogram,Brahmanbaria,Ashuganj,0.571,legacy_or_special
Barisal,Patuakhali,Khepupara,2,2,Khepupara UPO | Mahipur EDSO,8650 | 8651,Kalapara,0.588,Khulna,Jashore,Bagherpara,0.632,Chattogram,Brahmanbaria,Akhaura,0.625,Sylhet,Moulvibazar,Kulaura,0.625,legacy_or_special
Rajshahi,Pabna,Debattar (Afgaria),1,1,Debattar (Afgaria) UPO,6610,Atghoria,0.522,Dhaka,Dhaka,Jatrabari,0.583,Dhaka,Dhaka,Bhatara,0.545,Khulna,Satkhira,Debhata,0.545,legacy_or_special
Barisal,Pirojpur,Swarupkati,4,4,Swarupkati UPO | Darus Sunnat SO | Kaurikhara SO | Jalabari SO,8520 | 8521 | 8522 | 8523,Indurkani,0.421,Barisal,Barisal,Rupatali,0.667,Chattogram,Chandpur,Shahrasti,0.632,Chattogram,Brahmanbaria,Sarail,0.625,legacy_or_special
Barisal,Barisal,Barjalia (Hijla),2,2,Barjalia (Hijla) UPo | Osman Manjil SO,8260 | 8261,Barisal Sadar,0.560,Rajshahi,Naogaon,Badalgachi,0.609,Chattogram,Chattogram,Bakalia,0.600,Barisal,Barisal,Barisal Sadar,0.560,legacy_or_special
Khulna,Bagerhat,Chalna Anchorange,2,2,Chalna Anchorange UPO | Mongla Port SO,9350 | 9351,Chitalmari,0.462,Sylhet,Habiganj,Baniachong,0.538,Khulna,Khulna,Labanchara,0.538,Rajshahi,Bogura,Dupchanchia,0.519,legacy_or_special
Chattogram,Lakshmipur,Char Alexander (Rangamati),3,3,Char Alexander (Rangamati) UPO | Hajeer Hat SO | Ramgatir Hat SO,3730 | 3731 | 3732,Ramgati,0.414,Khulna,Chuadanga,Alamdanga,0.516,Dhaka,Faridpur,Alfadanga,0.516,Rajshahi,Rajshahi,Chandrima,0.516,legacy_or_special
Chattogram,Lakshmipur,Roypur,5,5,Roypur UPO | Rakhalia Bazar SO | Nager Dighir Par SO | Haidergonj SO | Bhua Bari EDSO,3710 | 3711 | 3712 | 3713 | 3714,Raipur,0.667,Dhaka,Dhaka,Mirpur,0.667,Khulna,Kushtia,Mirpur,0.667,Chattogram,Lakshmipur,Raipur,0.667,legacy_or_special
Rangpur,Lalmonirhat,Tushbhanader,1,1,Tushbhanader UPO,5520,Hatibandha,0.364,Dhaka,Madaripur,Shibchar,0.600,Dhaka,Munshiganj,Munshiganj Sadar,0.593,Khulna,Kushtia,Kushtia Sadar,0.583,legacy_or_special
Dhaka,Shariatpur,Jangira,1,1,Jangira UPO,8010,Zajira,0.615,Rajshahi,Pabna,Bhangura,0.667,Chattogram,Chattogram,Rangunia,0.667,Rajshahi,Pabna,Sujanagar,0.625,legacy_or_special
Rajshahi,Sirajganj,Dhangarha (Roygonj),2,2,Dhangarha (Roygonj) UPO | Malunga SO,6720 | 6721,Raigonj,0.435,Rangpur,Rangpur,Gangachara,0.615,Chattogram,Comilla,Monohargonj,0.593,Rangpur,Rangpur,Taragonj,0.583,legacy_or_special
Sylhet,Sunamganj,Dirai Chandpur (Dirai),2,2,Dirai Chandpur (Dirai) UPO | Jagadal EDSO,3040 | 3041,Jagannathpur,0.400,Chattogram,Chandpur,Chandpur Sadar,0.645,Rajshahi,Rajshahi,Chandrima,0.593,Dhaka,Narsingdi,Raipura,0.560,legacy_or_special
