district_label_bn,division,district,source_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Fulbari,Phulbari,0.800,Chilmari,0.533,Ulipur,0.462
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Rajibpur,Charrajibpur,0.800,Ulipur,0.571,Rajarhat,0.500
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Roumari,Rowmari,0.857,Bhurungamari,0.632,Phulbari,0.533
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Lakshmi Chari,Laxmichhari,0.783,Manikchari,0.636,Panchari,0.600
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Ranghar,Ramgarh,0.714,Panchari,0.667,Matiranga,0.625
খুলনা পোস্ট কোড,Khulna,Khulna,Batiaghat,Botiaghata,0.842,Aranghata,0.667,Paikgasa,0.471
খুলনা পোস্ট কোড,Khulna,Khulna,Chalna Bazar (Dakup),Khulna Sadar,0.519,Dakop,0.381,Terokhada,0.320
খুলনা পোস্ট কোড,Khulna,Khulna,Digalia,Digholia,0.800,Paikgasa,0.533,Daulatpur,0.500
খুলনা পোস্ট কোড,Khulna,Khulna,Fultala,Fultola,0.857,Khulna Sadar,0.444,Terokhada,0.375
খুলনা পোস্ট কোড,Khulna,Khulna,Palkgacha,Paikgasa,0.706,Labanchara,0.526,Aranghata,0.444
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Bonarpara (Saghate),Saghata,0.522,Gaibandha Sadar,0.400,Gobindaganj,0.370
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Fulchari,Phulchari,0.824,Palashbari,0.556,Sadullapur,0.444
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Gazipur,Gazipur Sadar,0.737,Kashimpur,0.625,Sreepur,0.429
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Kaligonj,Kaliganj,0.875,Kaliakair,0.471,Bason,0.462
