division,district,source_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Rangpur,Kurigram,Fulbari,Phulbari,0.800,Chilmari,0.533,Ulipur,0.462
Rangpur,Kurigram,Rajibpur,Charrajibpur,0.800,Ulipur,0.571,Rajarhat,0.500
Rangpur,Kurigram,Roumari,Rowmari,0.857,Bhurungamari,0.632,Chilmari,0.533
Chattogram,Khagrachhari,Lakshmi Chari,Laxmichhari,0.833,Manikchari,0.667,Panchari,0.636
Chattogram,Khagrachhari,Ranghar,Ramgarh,0.714,Matiranga,0.625,Panchari,0.625
Khulna,Khulna,Batiaghat,Botiaghata,0.842,Aranghata,0.667,Paikgasa,0.471
Khulna,Khulna,Chalna Bazar (Dakup),Khulna Sadar,0.519,Dakop,0.381,Daulatpur,0.320
Khulna,Khulna,Digalia,Digholia,0.800,Paikgasa,0.533,Daulatpur,0.500
Khulna,Khulna,Fultala,Fultola,0.857,Khulna Sadar,0.444,Daulatpur,0.375
Khulna,Khulna,Palkgacha,Paikgasa,0.706,Labanchara,0.526,Aranghata,0.444
Rangpur,Gaibandha,Fulchari,Phulchari,0.842,Palashbari,0.526,Sadullapur,0.421
Dhaka,Gazipur,Monnonagar,Konabari,0.556,Kaliganj,0.333,Kaliakair,0.316
Chattogram,Chattogram,Lohaghora,Lohagara,0.824,Chandgaon,0.444,Hathazari,0.444
Chattogram,Chattogram,Rangunia (Dhamair),Rangunia,0.696,Pahartali,0.417,Bayejid Bostami,0.414
Chattogram,Chattogram,Sadar,Bandar,0.727,Sadarghat,0.714,Sitakunda,0.571
Chattogram,Chandpur,Matlabgonj (Matlab),Matlab North,0.593,Matlab South,0.519,Hajiganj,0.417
Rajshahi,Chapainawabganj,Nachul,Nachol,0.833,Bholahat,0.286,Gomostapur,0.250
Rajshahi,Joypurhat,Ghoramara,Joypurhat Sadar,0.348,Kalai,0.286,Khetlal,0.250
Barisal,Jhalakathi,Nalchiti,Nalchity,0.875,Kathalia,0.375,Jhalakathi Sadar,0.348
Khulna,Jhenaidah,Court Chandpur,Kotchandpur,0.833,Moheshpur,0.455,Harinakundu,0.417
Dhaka,Tangail,Deldoar,Delduar,0.857,Dhanbari,0.400,BB. Bridge (East),0.316
Dhaka,Tangail,Khas Kaolia,Basail,0.500,Ghatail,0.471,Dhanbari,0.444
Rangpur,Thakurgaon,Jibanpur,Haripur,0.533,Pirganj,0.400,Baliadangi,0.333
Dhaka,Dhaka,Dania,Gendaria,0.615,Ramna,0.600,Dhanmondi,0.571
Dhaka,Dhaka,Dhaka Sadar,Chak Bazar,0.632,Dohar,0.533,Savar,0.533
Dhaka,Dhaka,Dhaka Sadr,Chak Bazar,0.667,Dohar,0.571,Bhatara,0.500
Dhaka,Dhaka,Kochukhet,Khilkhet,0.706,Dakshinkhan,0.400,Kotwali,0.375
Dhaka,Dhaka,Kodomtoli,Kadamtali,0.667,Kotwali,0.625,Dhamrai,0.375
Dhaka,Dhaka,Lalmati,Dhamrai,0.571,Lalbagh,0.571,Ramna,0.500
Dhaka,Dhaka,Nilkhet,Khilkhet,0.800,New Market,0.500,Motijheel,0.375
Dhaka,Dhaka,Shantinagar,Sher-E-Bangla Nagar,0.667,Bhatara,0.556,Rupnagar,0.526
Dhaka,Dhaka,Uttara,Uttar Khan,0.800,Uttara Purba,0.706,Uttara Paschim,0.632
Rangpur,Dinajpur,Biral,Birol,0.800,Birganj,0.667,Birampur,0.615
Rangpur,Dinajpur,Nababgonj,Nawabganj,0.889,Birganj,0.625,Bochaganj,0.556
Rangpur,Dinajpur,Setabgonj,Nawabganj,0.667,Birganj,0.625,Bochaganj,0.556
Rajshahi,Naogaon,Ahsangonj (Atral),Raninagar,0.435,Atrai,0.421,Naogaon Sadar,0.385
Rajshahi,Naogaon,Mahadebpur,Mohadevpur,0.800,Niamatpur,0.526,Sapahar,0.471
Rajshahi,Naogaon,Nitpur (Pursa),Niamatpur,0.600,Porsha,0.471,Patnitala,0.400
Dhaka,Narsingdi,Narandi,Monohardi,0.625,Narsingdi Sadar,0.571,Raipura,0.429
Dhaka,Narayanganj,Fatulla,Fotullah,0.800,Bandar,0.308,Araihazar,0.250
Mymensingh,Netrokona,Dharampasa,Purbadhala,0.400,Atpara,0.375,Barhatta,0.333
Mymensingh,Netrokona,Dhobaura,Barhatta,0.500,Durgapur,0.500,Khaliajuri,0.444
Mymensingh,Netrokona,Madhya Nagar,Madan,0.625,Kalmakanda,0.476,Purbadhala,0.476
Mymensingh,Netrokona,Susang,Madan,0.364,Kendua,0.333,Durgapur,0.286
Chattogram,Noakhali,Hatya,Hatia,0.800,Chatkhil,0.462,Kabirhat,0.462
Chattogram,Noakhali,Senbagh,Senbug,0.769,Subarnachar,0.444,Sonaimori,0.375
Barisal,Patuakhali,Baufal,Bauphal,0.769,Rangabali,0.400,Patuakhali Sadar,0.381
Barisal,Patuakhali,Khepupara,Kalapara,0.588,Bauphal,0.375,Galachipa,0.333
