source_division,source_district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,best_same_district_upazila,best_same_district_score,global_1_division,global_1_district,global_1_upazila,global_1_score,global_2_division,global_2_district,global_2_upazila,global_2_score,global_3_division,global_3_district,global_3_upazila,global_3_score,classification_hint
Chattogram,Chattogram,Sadar,28,27,Chattogram GPO | NNM Madrasa EDBO | Chattogram HO | Pahartali TSO | Chackbazar TSO | Patenga TSO | Chattogram Airport TSO | Jaldia Marine Academy TSO,4000 | 4100 | 4202 | 4203 | 4204 | 4205 | 4206 | 4207,Bandar,0.727,Dhaka,Dhaka,Savar,0.800,Dhaka,Faridpur,Sadarpur,0.769,Dhaka,Dhaka,Adabor,0.727,same_district_likely
Rajshahi,Joypurhat,Ghoramara,1,1,Ghoramara HO,6100,Joypurhat Sadar,0.348,Khulna,Kushtia,Bheramara,0.778,Rangpur,Dinajpur,Ghoraghat,0.667,Khulna,Jashore,Bagherpara,0.632,same_district_likely
Dhaka,Tangail,Khas Kaolia,1,1,Khas Kaolia UPO (Chowhali thana at Serajgonj District),1921,Basail,0.500,Chattogram,Chattogram,Bakalia,0.706,Chattogram,Cox's Bazar,Chakaria,0.667,Khulna,Narail,Kalia,0.667,same_district_likely
Dhaka,Dhaka,Dania,1,1,Dania TSO,1236,Gendaria,0.615,Rangpur,Rangpur,Kaunia,0.727,Barisal,Barisal,Kawnia,0.727,Rajshahi,Pabna,Santhia,0.667,same_district_likely
Dhaka,Dhaka,Dhaka Sadar,2,2,Dhaka Sadar HO | Gandaria TSO,1100 | 1204,Chak Bazar,0.632,Barisal,Jhalakathi,Jhalakathi Sadar,0.720,Rangpur,Thakurgaon,Thakurgaon Sadar,0.720,Barisal,Bhola,Bhola Sadar,0.700,same_district_likely
Dhaka,Dhaka,Kochukhet,1,1,"Dhaka Cen,ft. TSO",1206,Khilkhet,0.706,Dhaka,Dhaka,Khilkhet,0.706,Khulna,Bagerhat,Kachua,0.533,Chattogram,Chandpur,Kachua,0.533,same_district_likely
Dhaka,Dhaka,Nilkhet,1,1,New Market TSO,1205,Khilkhet,0.800,Dhaka,Dhaka,Khilkhet,0.800,Rajshahi,Joypurhat,Khetlal,0.571,Sylhet,Sylhet,Airport (Sylhet),0.500,same_district_likely
Dhaka,Dhaka,Uttara,1,1,Uttara Model Town TSO,1230,Uttar Khan,0.800,Dhaka,Dhaka,Uttar Khan,0.800,Dhaka,Dhaka,Uttara Purba,0.706,Mymensingh,Netrokona,Atpara,0.667,same_district_likely
Rangpur,Dinajpur,Setabgonj,1,1,Setabgonj UPO,5226,Nawabganj,0.667,Sylhet,Habiganj,Shayestaganj,0.762,Barisal,Barisal,Babuganj,0.706,Rangpur,Panchagarh,Debiganj,0.706,same_district_likely
Dhaka,Narsingdi,Narandi,5,0,Kahetergaon | Boro Mirzapur Bazar | Borochapa | Krishnapur | Hafizpur,,Monohardi,0.625,Mymensingh,Mymensingh,Nandail,0.714,Dhaka,Faridpur,Nagarkanda,0.706,Rajshahi,Naogaon,Atrai,0.667,same_district_likely
