district_label_bn,division,district,source_upazila,match_type,matched_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Chiringa Community Centre (Chakaria),parenthetical,Chakaria,Chakaria,0.410,Coxsbazar Sadar,0.267,Eidgaon,0.263
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Ghorakghat (Moheshkhali),parenthetical,Moheshkhali,Moheshkhali,0.688,Chakaria,0.345,Ramu,0.240
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Kutubdia,exact,Kutubdia,Kutubdia,1.000,Pekua,0.462,Ukhiya,0.429
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Ramu,exact,Ramu,Ramu,1.000,Chakaria,0.333,Pekua,0.222
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Sadar,review,,Coxsbazar Sadar,0.526,Chakaria,0.462,Moheshkhali,0.250
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Teknaf,exact,Teknaf,Teknaf,1.000,Pekua,0.545,Moheshkhali,0.353
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Ukhiya,exact,Ukhiya,Ukhiya,1.000,Kutubdia,0.429,Chakaria,0.429
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Astagram,review,,Austagram,0.941,Tarail,0.571,Katiadi,0.400
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Bajitpur,exact,Bajitpur,Bajitpur,1.000,Hossainpur,0.556,Bhairab,0.533
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Bhairab,exact,Bhairab,Bhairab,1.000,Bajitpur,0.533,Hossainpur,0.471
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Hussainpur,review,,Hossainpur,0.900,Bajitpur,0.556,Bhairab,0.471
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Itna,exact,Itna,Itna,1.000,Mithamoin,0.462,Katiadi,0.364
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Karimgonj,exact,Karimgonj,Karimgonj,1.000,Tarail,0.400,Katiadi,0.375
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Kathiadi,review,,Katiadi,0.933,Bhairab,0.400,Pakundia,0.375
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Kuliarchar,exact,Kuliarchar,Kuliarchar,1.000,Pakundia,0.444,Austagram,0.421
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Mithamain,review,,Mithamoin,0.889,Tarail,0.533,Itna,0.462
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Nikli,exact,Nikli,Nikli,1.000,Kuliarchar,0.400,Tarail,0.364
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Pakundi,review,,Pakundia,0.933,Katiadi,0.429,Kuliarchar,0.353
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Sadar,review,,Kishoreganj Sadar,0.476,Pakundia,0.462,Austagram,0.429
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Tarail,exact,Tarail,Tarail,1.000,Austagram,0.533,Katiadi,0.462
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Barura,exact,Barura,Barura,1.000,Burichang,0.533,Chauddagram,0.471
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Brahmanpara,exact,Brahmanpara,Brahmanpara,1.000,Bangara Bazar,0.522,Burichang,0.500
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Burichang,exact,Burichang,Burichang,1.000,Barura,0.533,Muradnagar,0.526
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Chandina,exact,Chandina,Chandina,1.000,Chauddagram,0.526,Daudkandi,0.471
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Chaudha Gram,review,,Chauddagram,0.909,Chandina,0.526,Muradnagar,0.476
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Daudkandi,exact,Daudkandi,Daudkandi,1.000,Chandina,0.471,Lalmai,0.400
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Debidwar,exact,Debidwar,Debidwar,1.000,Barura,0.429,Chauddagram,0.421
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Homna,exact,Homna,Homna,1.000,Meghna,0.545,Brahmanpara,0.500
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Laksam,exact,Laksam,Laksam,1.000,Lalmai,0.500,Comilla Sadar,0.444
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Muradnagar,exact,Muradnagar,Muradnagar,1.000,Burichang,0.526,Brahmanpara,0.476
