district_label_bn,source_division,source_district,source_upazila,canonical_division,canonical_district,canonical_upazila,resolution_type,reason
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Chiringa Community Centre (Chakaria),Chattogram,Cox's Bazar,Chakaria,parenthetical,parenthetical
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Ghorakghat (Moheshkhali),Chattogram,Cox's Bazar,Moheshkhali,parenthetical,parenthetical
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Kutubdia,Chattogram,Cox's Bazar,Kutubdia,exact,exact
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Ramu,Chattogram,Cox's Bazar,Ramu,exact,exact
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Sadar,Chattogram,Cox's Bazar,Coxsbazar Sadar,safe_candidate,unique_district_sadar
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Teknaf,Chattogram,Cox's Bazar,Teknaf,exact,exact
কক্সবাজার পোস্ট কোড,Chattogram,Cox's Bazar,Ukhiya,Chattogram,Cox's Bazar,Ukhiya,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Astagram,Dhaka,Kishoreganj,Austagram,safe_candidate,high_similarity:0.941;margin:0.370
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Bajitpur,Dhaka,Kishoreganj,Bajitpur,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Bhairab,Dhaka,Kishoreganj,Bhairab,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Hussainpur,Dhaka,Kishoreganj,Hossainpur,safe_candidate,high_similarity:0.900;margin:0.344
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Itna,Dhaka,Kishoreganj,Itna,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Karimgonj,Dhaka,Kishoreganj,Karimgonj,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Kathiadi,Dhaka,Kishoreganj,Katiadi,safe_candidate,high_similarity:0.933;margin:0.533
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Kuliarchar,Dhaka,Kishoreganj,Kuliarchar,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Mithamain,Dhaka,Kishoreganj,Mithamoin,safe_candidate,high_similarity:0.889;margin:0.356
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Nikli,Dhaka,Kishoreganj,Nikli,exact,exact
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Pakundi,Dhaka,Kishoreganj,Pakundia,safe_candidate,high_similarity:0.933;margin:0.504
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Sadar,Dhaka,Kishoreganj,Kishoreganj Sadar,safe_candidate,unique_district_sadar
কিশোরগঞ্জ পোস্ট কোড,Dhaka,Kishoreganj,Tarail,Dhaka,Kishoreganj,Tarail,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Barura,Chattogram,Comilla,Barura,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Brahmanpara,Chattogram,Comilla,Brahmanpara,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Burichang,Chattogram,Comilla,Burichang,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Chandina,Chattogram,Comilla,Chandina,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Chaudha Gram,Chattogram,Comilla,Chauddagram,safe_candidate,high_similarity:0.909;margin:0.383
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Daudkandi,Chattogram,Comilla,Daudkandi,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Debidwar,Chattogram,Comilla,Debidwar,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Homna,Chattogram,Comilla,Homna,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Laksam,Chattogram,Comilla,Laksam,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Muradnagar,Chattogram,Comilla,Muradnagar,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Nangalkot,Chattogram,Comilla,Nangalkot,exact,exact
কুমিল্লা পোস্ট কোড,Chattogram,Comilla,Sadar,Chattogram,Comilla,Comilla Sadar,safe_candidate,unique_district_sadar
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Bheramara,Khulna,Kushtia,Bheramara,exact,exact
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Janipur (Khoksa),Khulna,Kushtia,Khoksa,parenthetical,parenthetical
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Kumarkhali,Khulna,Kushtia,Kumarkhali,exact,exact
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Mirpur,Khulna,Kushtia,Mirpur,exact,exact
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Refayetpur (Daulatpur),Khulna,Kushtia,Daulatpur,parenthetical,parenthetical
কুস্টিয়া পোস্ট কোড,Khulna,Kushtia,Sadar,Khulna,Kushtia,Kushtia Sadar,safe_candidate,unique_district_sadar
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Bhurungamari,Rangpur,Kurigram,Bhurungamari,exact,exact
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Chilmari,Rangpur,Kurigram,Chilmari,exact,exact
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Nageswari,Rangpur,Kurigram,Nageshwari,safe_candidate,high_similarity:0.947;margin:0.447
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Rajarhat,Rangpur,Kurigram,Rajarhat,exact,exact
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Sadar,Rangpur,Kurigram,Kurigram Sadar,safe_candidate,unique_district_sadar
কুড়িগ্রাম পোস্ট কোড,Rangpur,Kurigram,Ulipur,Rangpur,Kurigram,Ulipur,exact,exact
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Diginala,Chattogram,Khagrachhari,Dighinala,safe_candidate,high_similarity:0.941;margin:0.541
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Mahal Chari,Chattogram,Khagrachhari,Mohalchari,safe_candidate,high_similarity:0.900;margin:0.200
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Manikchari,Chattogram,Khagrachhari,Manikchari,exact,exact
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Matiranga,Chattogram,Khagrachhari,Matiranga,exact,exact
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Panchari,Chattogram,Khagrachhari,Panchari,exact,exact
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Sadar,Chattogram,Khagrachhari,Khagrachhari Sadar,safe_candidate,unique_district_sadar
খুলনা পোস্ট কোড,Khulna,Khulna,Alaipur (Rupsha),Khulna,Khulna,Rupsha,parenthetical,parenthetical
খুলনা পোস্ট কোড,Khulna,Khulna,Madinabad (Koyra),Khulna,Khulna,Koyra,parenthetical,parenthetical
খুলনা পোস্ট কোড,Khulna,Khulna,Sadar,Khulna,Khulna,Khulna Sadar,safe_candidate,unique_district_sadar
খুলনা পোস্ট কোড,Khulna,Khulna,Sajiara (Dumuria),Khulna,Khulna,Dumuria,parenthetical,parenthetical
