division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Rangpur,Kurigram,Fulbari,manual_review,,,Phulbari,0.800,Chilmari,0.533,Ulipur,0.462
Rangpur,Kurigram,Rajibpur,manual_review,,,Charrajibpur,0.800,Ulipur,0.571,Rajarhat,0.500
Rangpur,Kurigram,Roumari,manual_review,,,Rowmari,0.857,Bhurungamari,0.632,Chilmari,0.533
Chattogram,Khagrachhari,Lakshmi Chari,manual_review,,,Laxmichhari,0.833,Manikchari,0.667,Panchari,0.636
Chattogram,Khagrachhari,Ranghar,manual_review,,,Ramgarh,0.714,Matiranga,0.625,Panchari,0.625
Khulna,Khulna,Batiaghat,manual_review,,,Botiaghata,0.842,Aranghata,0.667,Paikgasa,0.471
Khulna,Khulna,Chalna Bazar (Dakup),manual_review,,,Khulna Sadar,0.519,Dakop,0.381,Daulatpur,0.320
Khulna,Khulna,Digalia,manual_review,,,Digholia,0.800,Paikgasa,0.533,Daulatpur,0.500
Khulna,Khulna,Fultala,manual_review,,,Fultola,0.857,Khulna Sadar,0.444,Daulatpur,0.375
Khulna,Khulna,Palkgacha,manual_review,,,Paikgasa,0.706,Labanchara,0.526,Aranghata,0.444
Rangpur,Gaibandha,Bonarpara (Saghate),safe_candidate,Saghata,parenthetical_high_confidence,Saghata,0.522,Gaibandha Sadar,0.400,Gobindaganj,0.370
Rangpur,Gaibandha,Fulchari,manual_review,,,Phulchari,0.842,Palashbari,0.526,Sadullapur,0.421
Dhaka,Gazipur,Gazipur,safe_candidate,Gazipur Sadar,district_name_to_unique_sadar,Gazipur Sadar,0.737,Kashimpur,0.625,Sreepur,0.429
Dhaka,Gazipur,Kaligonj,safe_candidate,Kaliganj,normalized_alias,Kaliganj,1.000,Kaliakair,0.588,Kapasia,0.533
Dhaka,Gazipur,Monnonagar,manual_review,,,Konabari,0.556,Kaliganj,0.333,Kaliakair,0.316
Chattogram,Chattogram,Jaldi (Bashkhali),safe_candidate,Banshkhali,parenthetical_high_confidence,Banshkhali,0.750,Boalkhali,0.609,Bakalia,0.571
Chattogram,Chattogram,Lohaghora,manual_review,,,Lohagara,0.824,Chandgaon,0.444,Hathazari,0.444
Chattogram,Chattogram,Rangunia (Dhamair),manual_review,,,Rangunia,0.696,Pahartali,0.417,Bayejid Bostami,0.414
Chattogram,Chattogram,Sadar,manual_review,,,Bandar,0.727,Sadarghat,0.714,Sitakunda,0.571
Chattogram,Chandpur,Hajigonj,safe_candidate,Hajiganj,normalized_alias,Hajiganj,1.000,Faridgonj,0.706,Haimchar,0.500
Chattogram,Chandpur,Matlabgonj (Matlab),manual_review,,,Matlab North,0.593,Matlab South,0.519,Hajiganj,0.417
Rajshahi,Chapainawabganj,Nachul,manual_review,,,Nachol,0.833,Bholahat,0.286,Gomostapur,0.250
Rajshahi,Chapainawabganj,Shibgonj,safe_candidate,Shibganj,normalized_alias,Shibganj,1.000,Chapainawabganj Sadar,0.500,Bholahat,0.250
Rajshahi,Joypurhat,Ghoramara,manual_review,,,Joypurhat Sadar,0.348,Kalai,0.286,Khetlal,0.250
Barisal,Jhalakathi,Nalchiti,manual_review,,,Nalchity,0.875,Kathalia,0.375,Jhalakathi Sadar,0.348
Khulna,Jhenaidah,Court Chandpur,manual_review,,,Kotchandpur,0.833,Moheshpur,0.455,Harinakundu,0.417
Khulna,Jhenaidah,Naldanga (Kaligonj),safe_candidate,Kaliganj,parenthetical_high_confidence,Kaliganj,0.667,Jhenaidah Sadar,0.400,Shailkupa,0.240
Dhaka,Tangail,Deldoar,manual_review,,,Delduar,0.857,Dhanbari,0.400,BB. Bridge (East),0.316
Dhaka,Tangail,Khas Kaolia,manual_review,,,Basail,0.500,Ghatail,0.471,Dhanbari,0.444
Rangpur,Thakurgaon,Jibanpur,manual_review,,,Haripur,0.533,Pirganj,0.400,Baliadangi,0.333
Rangpur,Thakurgaon,Pirgonj,safe_candidate,Pirganj,normalized_alias,Pirganj,1.000,Thakurgaon Sadar,0.364,Baliadangi,0.353
Dhaka,Dhaka,Dania,manual_review,,,Gendaria,0.615,Ramna,0.600,Dhanmondi,0.571
Dhaka,Dhaka,Dhaka Sadar,manual_review,,,Chak Bazar,0.632,Dohar,0.533,Savar,0.533
Dhaka,Dhaka,Dhaka Sadr,manual_review,,,Chak Bazar,0.667,Dohar,0.571,Bhatara,0.500
Dhaka,Dhaka,Kochukhet,manual_review,,,Khilkhet,0.706,Dakshinkhan,0.400,Kotwali,0.375
Dhaka,Dhaka,Kodomtoli,manual_review,,,Kadamtali,0.667,Kotwali,0.625,Dhamrai,0.375
Dhaka,Dhaka,Lalmati,manual_review,,,Dhamrai,0.571,Lalbagh,0.571,Ramna,0.500
Dhaka,Dhaka,Nilkhet,manual_review,,,Khilkhet,0.800,New Market,0.500,Motijheel,0.375
Dhaka,Dhaka,Shantinagar,manual_review,,,Sher-E-Bangla Nagar,0.667,Bhatara,0.556,Rupnagar,0.526
Dhaka,Dhaka,Uttara,manual_review,,,Uttar Khan,0.800,Uttara Purba,0.706,Uttara Paschim,0.632
Rangpur,Dinajpur,Biral,manual_review,,,Birol,0.800,Birganj,0.667,Birampur,0.615
Rangpur,Dinajpur,Birgonj,safe_candidate,Birganj,normalized_alias,Birganj,1.000,Bochaganj,0.625,Nawabganj,0.625
Rangpur,Dinajpur,Maharajgonj (Kaharul),safe_candidate,Kaharol,parenthetical_high_confidence,Kaharol,0.480,Bochaganj,0.444,Nawabganj,0.444
Rangpur,Dinajpur,Nababgonj,manual_review,,,Nawabganj,0.889,Birganj,0.625,Bochaganj,0.556
Rangpur,Dinajpur,Setabgonj,manual_review,,,Nawabganj,0.667,Birganj,0.625,Bochaganj,0.556
Rajshahi,Naogaon,Ahsangonj (Atral),manual_review,,,Raninagar,0.435,Atrai,0.421,Naogaon Sadar,0.385
Rajshahi,Naogaon,Mahadebpur,manual_review,,,Mohadevpur,0.800,Niamatpur,0.526,Sapahar,0.471
Rajshahi,Naogaon,Nitpur (Pursa),manual_review,,,Niamatpur,0.600,Porsha,0.471,Patnitala,0.400
Dhaka,Narsingdi,Narandi,manual_review,,,Monohardi,0.625,Narsingdi Sadar,0.571,Raipura,0.429
Dhaka,Narayanganj,Fatulla,manual_review,,,Fotullah,0.800,Bandar,0.308,Araihazar,0.250
Dhaka,Narayanganj,Rupgonj,safe_candidate,Rupganj,normalized_alias,Rupganj,1.000,Siddhirganj,0.556,Sonargaon,0.500
Dhaka,Narayanganj,Siddirgonj,safe_candidate,Siddhirganj,second_pass_similarity:0.952;margin:0.364,Siddhirganj,0.952,Rupganj,0.588,Sonargaon,0.526
Rangpur,Nilphamari,Kishoregonj,safe_candidate,Kishorganj,second_pass_similarity:0.952;margin:0.702,Kishorganj,0.952,Dimla,0.250,Domar,0.250
Mymensingh,Netrokona,Dharampasa,manual_review,,,Purbadhala,0.400,Atpara,0.375,Barhatta,0.333
Mymensingh,Netrokona,Dhobaura,manual_review,,,Barhatta,0.500,Durgapur,0.500,Khaliajuri,0.444
Mymensingh,Netrokona,Madhya Nagar,manual_review,,,Madan,0.625,Kalmakanda,0.476,Purbadhala,0.476
Mymensingh,Netrokona,Susang,manual_review,,,Madan,0.364,Kendua,0.333,Durgapur,0.286
Chattogram,Noakhali,Bashurhat (Companigonj),safe_candidate,Companiganj,parenthetical_high_confidence,Companiganj,0.710,Begumganj,0.483,Kabirhat,0.357
Chattogram,Noakhali,Hatya,manual_review,,,Hatia,0.800,Chatkhil,0.462,Kabirhat,0.462
Chattogram,Noakhali,Senbagh,manual_review,,,Senbug,0.769,Subarnachar,0.444,Sonaimori,0.375
Rangpur,Panchagarh,Chotodab (Atwar),safe_candidate,Atwari,parenthetical_high_confidence,Atwari,0.526,Panchagarh Sadar,0.357,Boda,0.353
Rangpur,Panchagarh,Debigonj,safe_candidate,Debiganj,normalized_alias,Debiganj,1.000,Tetulia,0.400,Boda,0.333
