source_division,source_district,source_upazila,policy,raw_rows,coded_rows,blank_code_rows,post_office_samples,postal_code_samples,canonical_upazilas_in_source_district
Chattogram,Chattogram,Sadar,metro_postal_zone_hold,28,27,1,Chattogram GPO | NNM Madrasa EDBO | Chattogram HO | Pahartali TSO | Chackbazar TSO | Patenga TSO | Chattogram Airport TSO | Jaldia Marine Academy TSO | Ferozsha Colony TSO | Mohra TSO | Chattogram Politechnique Institute TSO | Bayzid Bostami TSO | Amin Jute Mills TSO | Chandgaon TSO | Wazedia Madrasa TSO | Jalalbad TSO | Anando Bazar EDSO | Halishar Housing Estate TSO | North Kottoli TSO | Chattogram Sailors Colony TSO,4000 | 4100 | 4202 | 4203 | 4204 | 4205 | 4206 | 4207 | 4208 | 4209 | 4210 | 4211 | 4212 | 4213 | 4214 | 4215 | 4216 | 4217 | 4218 | 4219,Akbar Shah | Anwara | Bakalia | Bandar | Banshkhali | Bayejid Bostami | Boalkhali | Chandanaish | Chandgaon | Chawk Bazar | Chittagong Kotwali | Double Mooring | EPZ | Fatikchhari | Halishahar | Hathazari | Jorarganj | Karnafuli | Khulshi | Lohagara | Mirsharai | Pahartali | Panchlaish | Patenga | Patiya | Rangunia | Raozan | Sadarghat | Sandwip | Satkania | Sitakunda | Vujpur
Dhaka,Dhaka,Dania,metro_postal_zone_hold,1,1,0,Dania TSO,1236,Adabor | Ashulia | Badda | Banani | Bangshal | Bhasan Tek | Bhatara | Biman Bandar | Cantonment | Chak Bazar | Dakshinkhan | Darus Salam | Demra | Dhamrai | Dhanmondi | Dohar | Gendaria | Gulshan | Hatirjheel | Hazaribagh | Jatrabari | Kadamtali | Kafrul | Kalabagan | Kamrangir Char | Keraniganj | Keraniganj (South) | Khilgaon | Khilkhet | Kotwali | Lalbagh | Mirpur | Mohammadpur | Motijheel | Mugda | Nawabganj | New Market | Pallabi | Paltan | Ramna | Rampura | Rupnagar | Sabujbagh | Savar | Shah Ali | Shahbagh | Shahjahanpur | Sher-E-Bangla Nagar | Shyampur | Sutrapur | Tejgaon | Tejgaon Ind. Area | Turag | Uttar Khan | Uttara Paschim | Uttara Purba | Wari
Dhaka,Dhaka,Dhaka Sadar,metro_postal_zone_hold,2,2,0,Dhaka Sadar HO | Gandaria TSO,1100 | 1204,Adabor | Ashulia | Badda | Banani | Bangshal | Bhasan Tek | Bhatara | Biman Bandar | Cantonment | Chak Bazar | Dakshinkhan | Darus Salam | Demra | Dhamrai | Dhanmondi | Dohar | Gendaria | Gulshan | Hatirjheel | Hazaribagh | Jatrabari | Kadamtali | Kafrul | Kalabagan | Kamrangir Char | Keraniganj | Keraniganj (South) | Khilgaon | Khilkhet | Kotwali | Lalbagh | Mirpur | Mohammadpur | Motijheel | Mugda | Nawabganj | New Market | Pallabi | Paltan | Ramna | Rampura | Rupnagar | Sabujbagh | Savar | Shah Ali | Shahbagh | Shahjahanpur | Sher-E-Bangla Nagar | Shyampur | Sutrapur | Tejgaon | Tejgaon Ind. Area | Turag | Uttar Khan | Uttara Paschim | Uttara Purba | Wari
Dhaka,Dhaka,Kochukhet,metro_postal_zone_hold,1,1,0,"Dhaka Cen,ft. TSO",1206,Adabor | Ashulia | Badda | Banani | Bangshal | Bhasan Tek | Bhatara | Biman Bandar | Cantonment | Chak Bazar | Dakshinkhan | Darus Salam | Demra | Dhamrai | Dhanmondi | Dohar | Gendaria | Gulshan | Hatirjheel | Hazaribagh | Jatrabari | Kadamtali | Kafrul | Kalabagan | Kamrangir Char | Keraniganj | Keraniganj (South) | Khilgaon | Khilkhet | Kotwali | Lalbagh | Mirpur | Mohammadpur | Motijheel | Mugda | Nawabganj | New Market | Pallabi | Paltan | Ramna | Rampura | Rupnagar | Sabujbagh | Savar | Shah Ali | Shahbagh | Shahjahanpur | Sher-E-Bangla Nagar | Shyampur | Sutrapur | Tejgaon | Tejgaon Ind. Area | Turag | Uttar Khan | Uttara Paschim | Uttara Purba | Wari
Dhaka,Dhaka,Uttara,metro_postal_zone_hold,1,1,0,Uttara Model Town TSO,1230,Adabor | Ashulia | Badda | Banani | Bangshal | Bhasan Tek | Bhatara | Biman Bandar | Cantonment | Chak Bazar | Dakshinkhan | Darus Salam | Demra | Dhamrai | Dhanmondi | Dohar | Gendaria | Gulshan | Hatirjheel | Hazaribagh | Jatrabari | Kadamtali | Kafrul | Kalabagan | Kamrangir Char | Keraniganj | Keraniganj (South) | Khilgaon | Khilkhet | Kotwali | Lalbagh | Mirpur | Mohammadpur | Motijheel | Mugda | Nawabganj | New Market | Pallabi | Paltan | Ramna | Rampura | Rupnagar | Sabujbagh | Savar | Shah Ali | Shahbagh | Shahjahanpur | Sher-E-Bangla Nagar | Shyampur | Sutrapur | Tejgaon | Tejgaon Ind. Area | Turag | Uttar Khan | Uttara Paschim | Uttara Purba | Wari
Rangpur,Dinajpur,Setabgonj,source_anomaly_hold,1,1,0,Setabgonj UPO,5226,Birampur | Birganj | Birol | Bochaganj | Chirirbandar | Dinajpur Sadar | Fulbari | Ghoraghat | Hakimpur | Kaharol | Khansama | Nawabganj | Parbatipur
Dhaka,Narsingdi,Narandi,source_anomaly_hold,5,0,5,Kahetergaon | Boro Mirzapur Bazar | Borochapa | Krishnapur | Hafizpur,,Belabo | Monohardi | Narsingdi Sadar | Palash | Raipura | Shibpur
Dhaka,Dhaka,Lalmati,metro_postal_zone_hold,1,1,0,Sangshad Bhaban,1225,Adabor | Ashulia | Badda | Banani | Bangshal | Bhasan Tek | Bhatara | Biman Bandar | Cantonment | Chak Bazar | Dakshinkhan | Darus Salam | Demra | Dhamrai | Dhanmondi | Dohar | Gendaria | Gulshan | Hatirjheel | Hazaribagh | Jatrabari | Kadamtali | Kafrul | Kalabagan | Kamrangir Char | Keraniganj | Keraniganj (South) | Khilgaon | Khilkhet | Kotwali | Lalbagh | Mirpur | Mohammadpur | Motijheel | Mugda | Nawabganj | New Market | Pallabi | Paltan | Ramna | Rampura | Rupnagar | Sabujbagh | Savar | Shah Ali | Shahbagh | Shahjahanpur | Sher-E-Bangla Nagar | Shyampur | Sutrapur | Tejgaon | Tejgaon Ind. Area | Turag | Uttar Khan | Uttara Paschim | Uttara Purba | Wari
Dhaka,Dhaka,Shantinagar,metro_postal_zone_hold,1,1,0,Shantinagar TSO,1217,Adabor | Ashulia | Badda | Banani | Bangshal | Bhasan Tek | Bhatara | Biman Bandar | Cantonment | Chak Bazar | Dakshinkhan | Darus Salam | Demra | Dhamrai | Dhanmondi | Dohar | Gendaria | Gulshan | Hatirjheel | Hazaribagh | Jatrabari | Kadamtali | Kafrul | Kalabagan | Kamrangir Char | Keraniganj | Keraniganj (South) | Khilgaon | Khilkhet | Kotwali | Lalbagh | Mirpur | Mohammadpur | Motijheel | Mugda | Nawabganj | New Market | Pallabi | Paltan | Ramna | Rampura | Rupnagar | Sabujbagh | Savar | Shah Ali | Shahbagh | Shahjahanpur | Sher-E-Bangla Nagar | Shyampur | Sutrapur | Tejgaon | Tejgaon Ind. Area | Turag | Uttar Khan | Uttara Paschim | Uttara Purba | Wari
Rajshahi,Rajshahi,Lalitgonj,source_anomaly_hold,4,4,0,Lalitgonj UPO | Rakshahi Sugar Mills SO | Shyampur EDSO | Naohata Bazar SO,6210 | 6211 | 6212 | 6213,Airport | Bagha | Bagmara | Belpukur | Boalia | Chandrima | Charghat | Damkura | Durgapur | Godagari | Karnahar | Kasiadanga | Katakhali | Matihar | Mohonpur | Paba | Puthia | Rajpara | Rajshahi Sadar | Shah Makhdum | Tanore
