source_id,name,rate,profile,commission
90,W-Lite_P20,500,Lite_P20,200
89,N_Go_P25,550,Go_P25,220
88,N_Lite_P20,500,Lite_P20,200
87,S_Regular_P60,800,Regular_P60,360
86,S_Max_P40,640,Max_P40,288
85,S_Basic_P15,500,Basic_P15,225
84,S_Start_P30,550,Start_P30,247
83,NT_Lite_P20,500,Lite_P20,200
82,R-Regular_P60,800,Regular_P60,320
81,R-Max_P40,640,Max_P40,256
80,R-Saver_P100,1000,Saver_P100,400
79,R-Start_P30,550,Start_P30,220
78,R-Lite_P20,500,Lite_P20,200
77,Plus_P27,525,Plus_P27,0
76,Go_P25,500,Go_P25,0
75,Swifter_P50,750,Swifter_P50,0
74,Gamer_30MB,550,Gamer_30MB,220
73,Student_P10,500,Student_P10,100
72,N_Start_P30,600,Start_P30,240
68,Lite_P20,475,Lite_P20,0
67,Basic_P15,450,Basic_P15,0
66,Economy_P130,1200,Economy_P130,0
65,Start_P30-Ex50,600,Start_P30,50
64,W-Go_P25,530,Go_P25,30
63,Value_P70,900,Value_P70,0
62,Little_P5,400,Little_P5,200
35,Standard_P45,650,Standard_P45,0
34,Boost_P35,600,Boost_P35,0
33,NT_Start_P30,550,Start_P30,220
32,NT_Regular_P60,800,Regular_P60,320
31,NT_Max_P40,640,Max_P40,256
30,Booster_P47,700,Booster_P47,0
16,Speacial_P160,1500,Speacial_P160,0
15,Freelancer_P150,1350,Freelancer_P150,0
13,Saver_P100,1000,Saver_P100,0
12,Regular_P60,800,Regular_P60,0
11,Max_P40,640,Max_P40,0
10,Start_P30,550,Start_P30,0
5,Start_P30_R90,640,Start_P30,90
3,Apptest,0,5MB,0
